el	article	masculine singular definite article; the		
alfombra	noun	carpet, rug (covering for a floor)	Aspiré la alfombra de la sala.	I vacuumed the carpet in the living room.
circular	adj	circular	Compraron alfombras circulares para la sala.	They bought circular rugs for the living room.
revesar	xxx	xxx	xxx	xxx
realicar	xxx	xxx	xxx	xxx
tarjeta	noun	card	Necesitas la tarjeta para abrir la puerta.	You need the card to open the door.
compra	noun	purchase, buying	Realicé dos compras pequeñas con tarjeta.	I made two small purchases with a card.
circular	noun	flyer, circular (advertisement)	Revisa la circular digital antes de ir de compras.	Check the digital flyer before going shopping.
disponible	adj	available	Tenemos habitaciones disponibles para esta noche.	We have rooms available for tonight.
segundo	adj	second (after the first)	Llegué en el segundo tren disponible.	I arrived on the second available train.
segundo	noun	second (unit of time)	Esperé cinco segundos para cruzar.	I waited five seconds to cross.
parar	verb	to stop, halt	¿Podrías parar un segundo y escucharme?	Could you stop for a second and listen to me?
circular	verb	to circulate	Habíamos circulado durante horas sin parar.	We had been driving for hours without stopping.
forma	noun	shape; form; figure	La forma del vaso es circular.	The shape of the glass is circular.
cualquiera	pron	anyone, whoever, whomever	No soy mejor que cualquiera.	I'm not better than anyone.
cualquiera	det	any, whatever, whichever	Cualquier persona puede aprender este idioma.	Anyone can learn this language.
cualquiera	noun	a person of no importance; a nobody, zero	Lo trataron como a un cualquiera en la reunión.	They treated him like a nobody at the meeting.
hecho	adj	done, completed	La tarea ya está hecha.	The homework is already done.
hecho	noun	fact	El hecho de estudiar ayuda mucho.	The fact of studying helps a lot.
diez	num	ten	Vivimos aquí desde hace diez años.	We have lived here for ten years.
diez	noun	A (highest grade in testing)	El profesor me puso un diez en el proyecto.	The teacher gave me a ten on the project.
aprendizaje	noun	learning	Los errores son parte del aprendizaje.	Mistakes are part of learning.
tipo	noun	kind, type, sort, manner	Hay muchos tipos de aprendizaje.	There are many types of learning.
impresionar	verb	to impress; to make an impression on	Me impresiona lo rápido que aprendes.	I'm impressed by how quickly you learn.
tipo	adj	dolled up, smartened up, dressed for a special occasion	Llegamos muy tipos porque había que impresionar.	We showed up really sharp because we had to impress.
detalle	noun	detail	Este detalle cambia toda la historia.	This detail changes the whole story.
ofrecer	verb	to offer, to offer up, to provide	Me gustaría que ofrecieras más detalles.	I would like you to provide more details.
aceptar	verb	to accept, to take up, to take up on	Ayer acepté el trabajo que ofrecieron.	Yesterday I accepted the job they offered.
tal	adj	such	No puedo aceptar tal comportamiento en clase.	I can't accept such behavior in class.
tal	pron	such	No puedo aceptar tal, lo siento.	I can't accept that, I'm sorry.
recordar	verb	to remember, to recollect	Ayer recordamos lo aprendido en clase.	Yesterday we remembered what we had learned in class.
entonces	adv	then, next, thereupon, at that time, at that point	Estaba lloviendo; entonces nos quedamos en casa.	It was raining; so we stayed home.
octubre	noun	October	El curso termina a finales de octubre.	The course ends at the end of October.
frío	adj	cold (having a low temperature)	Los días fríos llegan en octubre.	The cold days arrive in October.
emoción	noun	excitement, anticipation	Vivimos grandes emociones durante la final.	We experienced great emotions during the final.
intenso	adj	intense, strong	Las emociones eran muy intensas durante la final.	The emotions were very intense during the final.
frío	noun	cold, coldness (a condition of low temperature)	Siento un frío intenso en las manos.	I feel intense cold in my hands.
oscuro	adj	dark (lacking light)	La habitación era oscura y fría.	The room was dark and cold.
tema	noun	theme; plot (of a book, film or other media)	La película tiene un tema muy oscuro.	The movie has a very dark theme.
razón	noun	reason	Ella tiene razón sobre el tema.	She is right about the issue.
camino	noun	way, route	Tomamos un camino más corto.	We took a shorter route.
resolver	verb	to resolve, to sort out, to settle, to address, to tackle, to overcome, to iron out	Necesitamos resolver este problema juntos.	We need to solve this problem together.
violencia	noun	violence	La violencia no resuelve problemas.	Violence does not solve problems.
contra	prep	against, versus	Estoy en contra de la violencia.	I am against violence.
flexibilidad	xxx	xxx	xxx	xxx
contra	noun	con (disadvantage)	Un contra que veo es la escasa flexibilidad.	One con I see is the limited flexibility.
sentar	verb	to seat	Nos pidieron que sentáramos a todos juntos.	They asked us to seat everyone together.
contra	adv	opposite, facing	Nos sentamos en contra para poder mirarnos bien.	We sat across from each other so we could look at each other properly.
concentrar	verb	to concentrate	Deberíamos concentrarnos en resolver el problema.	We should focus on solving the problem.
música	noun	music	Pongo música suave para concentrarme mejor.	I put on soft music to concentrate better.
tierra	noun	land, ground (the part of Earth which is not covered by oceans or other bodies of water)	Los niños jugaron en la tierra mientras esperaban.	The children played in the dirt while they waited.
sueño	noun	sleep, slumber	Hoy tengo mucho sueño después del trabajo.	Today I am very sleepy after work.
importar	verb	to matter, to be important [with a ‘someone’] (often translated idiomatically with English care or mind, with subject and object reversed)	No me importó lo que dijo ayer.	I didn't care what they said yesterday.
estudiante	noun	student (a person who studies or learns about a particular subject)	El estudiante lee en la biblioteca cada tarde.	The student reads in the library every afternoon.
estudiante	adj	that studies, who studies	La madre estudiante trabaja y estudia.	The mother who is a student works and studies.
lado	noun	side	El gato duerme a mi lado.	The cat sleeps by my side.
comenzar	verb	to begin, to commence	Mañana comenzaremos el nuevo proyecto juntos.	Tomorrow we will start the new project together.
visitar	verb	to visit	Hemos visitado este lugar muchas veces juntos.	We have visited this place many times together.
encantar	verb	to charm, to enchant	Nos encantó la película que vimos.	We loved the movie we saw.
fin	noun	end	Trabajamos hasta el fin del día.	We work until the end of the day.
cabeza	noun	head	Me duele la cabeza hoy.	My head hurts today.
doler	verb	to hurt (to cause physical or emotional pain)	Me duele la cabeza desde ayer.	My head has been hurting since yesterday.
cantar	verb	to sing	No dejes de cantar por miedo.	Don't stop singing out of fear.
nudo	xxx	xxx	xxx	xxx
marinero	adj	sailor, seaman; seafaring	Aprendimos un nudo marinero en la clase.	We learned a sailor's knot in class.
navegación	xxx	xxx	xxx	xxx
marinero	noun	sailor, seaman	El marinero estudió navegación durante meses.	The sailor studied navigation for months.
cantar	noun	a type of shanty or popular song	Ese viejo cantar habla de marineros.	That old song speaks of sailors.
matar	verb	to kill, slay	No quiero matar a nadie hoy.	I don't want to kill anyone today.
minuto	noun	minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour)	La película empieza en diez minutos.	The movie starts in ten minutes.
levantar	verb	to lift	Me ayudan a levantar la mesa grande.	They help me lift the big table.
cama	noun	bed	Dejé el libro sobre la cama.	I left the book on the bed.
dado	noun	a die or dice	Los niños juegan con dados de colores.	The children play with colored dice.
dado	prep	given, considering	Dado que llueve, nos quedamos en casa.	Since it's raining, we are staying home.
echar	verb	to throw, toss, cast, jettison (to release an object from one's grasp so that it moves through the air)	Echemos los dados sobre la mesa.	Let's roll the dice on the table.
romper	verb	to break	No quiero romper la ventana hoy.	I don't want to break the window today.
bastante	adj	enough; sufficient	Tenemos bastantes sillas para todos.	We have enough chairs for everyone.
bastante	adv	quite, rather, pretty, fairly	Ella habla bastante rápido en clase.	She speaks quite fast in class.
cerca	adv	close, near, around, about, nearly, nigh (referring to quantity or time-related)	Estábamos cerca de terminar el proyecto.	We were close to finishing the project.
pintar	verb	to paint (to apply paint to)	¿Puedes pintar la puerta hoy, por favor?	Can you paint the door today, please?
cerca	noun	fence (a thin artificial barrier that separates two pieces of land or a house perimeter)	Pintamos la cerca vieja de blanco ayer.	We painted the old fence white yesterday.
mentira	noun	lie, trick, falsity	Aprendimos que la mentira duele.	We learned that lying hurts.
menudo	adj	what (a/an) (intensifier, followed by a noun)	Menudas mentiras cuenta ese tipo cuando habla.	What big lies that guy tells when he talks.
probar	verb	to prove	No pudieron probar lo que decían.	They couldn't prove what they were saying.
menudo	noun	a traditional Mexican spicy soup made with tripe	Probé menudo blanco durante las fiestas.	I tried white menudo during the holidays.
bajo	adj	short (of little height)	Ella es bastante baja y menuda.	She is quite short and petite.
bajo	adv	low	Habla más bajo, por favor.	Speak more quietly, please.
puntual	adj	punctual, on time	El tren fue puntual esta mañana.	The train was on time this morning.
eléctrico	adj	electric, electrical	El tren eléctrico llega puntual.	The electric train arrives on time.
bajo	noun	bass (sound, voice or instrument)	Compré un bajo eléctrico para aprender.	I bought an electric bass to learn on.
esconder	verb	to hide	No intentes esconder nunca la verdad.	Never try to hide the truth.
bajo	prep	under (in both literal and figurative senses)	El gato se escondió bajo la cama.	The cat hid under the bed.
vecina	xxx	xxx	xxx	xxx
chica	noun	female equivalent of chico: girl	Esa chica es mi vecina nueva.	That girl is my new neighbor.
carretera	noun	road, highway	Vivimos cerca de una carretera tranquila.	We live near a quiet road.
accidente	noun	accident (unexpected event with negative consequences)	Hubo un accidente en la carretera esta mañana.	There was an accident on the road this morning.
taza	noun	cup, mug	Compré dos tazas nuevas para la cocina.	I bought two new cups for the kitchen.
chocolate	noun	hot chocolate (drink made by dissolving chocolate in milk or water)	Ella pidió una taza de chocolate.	She asked for a cup of hot chocolate.
calentar	verb	to heat, to warm up (cause an increase in temperature)	¿Podrías calentar un poco el chocolate?	Could you warm the chocolate up a bit?
sol	noun	sun	El sol calienta la tierra cada mañana.	The sun warms the ground every morning.
decidir	verb	to decide, to make up one's mind, to determine, to choose to	Espero que decidas lo mejor pronto.	I hope you decide what's best soon.
serenidad	xxx	xxx	xxx	xxx
sino	noun	destiny, fate, lot	Ella aceptó su sino con serenidad.	She accepted her fate with serenity.
sino	conj	"but (after a negative clause) (i.e., ""but rather"", ""but only"", or ""but rather only"")"	No me llamó, sino que me escribió.	They didn't call me, but instead wrote to me.
fascinar	verb	to fascinate	Espero que te fascine este libro.	I hope this book fascinates you.
animal	adj	animal	El comportamiento animal nos fascina a todos.	Animal behavior fascinates us all.
animal	noun	animal	Los animales necesitan agua y comida.	Animals need water and food.
compartir	verb	to share	Me gusta compartir libros con amigos.	I like sharing books with friends.
traer	verb	to bring, to fetch	Hemos traído comida para compartir.	We have brought food to share.
ayuda	noun	help, aid	Necesitamos más ayuda para terminar la tarea.	We need more help to finish the task.
decimal	xxx	xxx	xxx	xxx
punto	noun	point (a decimal mark)	En inglés, se usa el punto para decimales.	In English, a period is used for decimals.
